district,month,year,domestic_visitors,foreign_visitors
WASHIM,January,2010,19216,0
WASHIM,February,2010,15478,0
WASHIM,March,2010,14664,0
WASHIM,April,2010,13167,0
WASHIM,May,2010,14526,9
WASHIM,June,2010,14365,12
WASHIM,July,2010,5940,0
WASHIM,August,2010,3521,0
WASHIM,Sep,2010,6517,0
WASHIM,October,2010,19206,0
WASHIM,Nov,2010,15467,0
WASHIM,Dec,2010,15476,0
YAVATMAL,January,2010,166323,0
YAVATMAL,February,2010,146969,20
YAVATMAL,March,2010,134695,0
YAVATMAL,April,2010,123846,0
YAVATMAL,May,2010,129096,0
YAVATMAL,June,2010,124914,0
YAVATMAL,July,2010,25535,0
YAVATMAL,August,2010,158987,0
YAVATMAL,Sep,2010,78018,0
YAVATMAL,October,2010,137343,0
YAVATMAL,Nov,2010,142551,0
YAVATMAL,Dec,2010,133510,0
