district,total_foreign_visitors
HINGOLI,0
JALNA,0
LATUR,15
PARBHANI,27
DHULE,40
YAVATMAL,46
WASHIM,55
AMRAVATI,64
NANDURBAR,67
GADCHIROLI,77
