district,total_domestic_visitors
MUMBAI,58205115
AHMEDNAGAR,25878061
PUNE,15968160
AURANGABAD,13616334
KOLHAPUR,10360497
BEED,8894223
NAGPUR,8833313
OSMANABAD,8037416
SOLAPUR,7043634
HINGOLI,6682827
